Date,Symbol,Quantity,Currency,,,
10/04/2024,RTX,663,USD,,,
10/04/2024,SAM,43,USD,,,
10/04/2024,STZ,100,USD,,,
10/04/2024,TAP,505,USD,,,
10/04/2024,TDG,28,USD,,,
10/04/2024,WYNN,446,USD,,,
11/04/2024,AIR,152,EUR,,,
11/04/2024,BAESY,559,USD,,,
11/04/2024,BDRBF,949,USD,,,
11/04/2024,BTI,790,USD,,,
11/04/2024,BUD,528,USD,,,
11/04/2024,BYD,364,USD,,,
11/04/2024,CURLF,13383,USD,,,
11/04/2024,CZR,485,USD,,,
11/04/2024,DKNG,1122,USD,,,
11/04/2024,GD,194,USD,,,
11/04/2024,GTBIF,2193,USD,,,
11/04/2024,HEI,239,EUR,,,
11/04/2024,HO,381,EUR,,,
11/04/2024,LMT,98,USD,,,
11/04/2024,LVS,573,USD,,,
11/04/2024,MGM,683,USD,,,
11/04/2024,MNST,141,USD,,,
11/04/2024,MO,456,USD,,,
11/04/2024,NOC,35,USD,,,
11/04/2024,PEP,295,USD,,,
11/04/2024,PM,457,USD,,,
11/04/2024,RHM,101,EUR,,,
11/04/2024,RRR,693,USD,,,
11/04/2024,RTX,663,USD,,,
11/04/2024,SAM,43,USD,,,
11/04/2024,STZ,100,USD,,,
11/04/2024,TAP,505,USD,,,
11/04/2024,TDG,28,USD,,,
11/04/2024,WYNN,446,USD,,,
12/04/2024,AIR,152,EUR,,,
12/04/2024,BAESY,559,USD,,,
12/04/2024,BDRBF,949,USD,,,
12/04/2024,BTI,790,USD,,,
12/04/2024,BUD,528,USD,,,
12/04/2024,BYD,364,USD,,,
12/04/2024,CURLF,13383,USD,,,
12/04/2024,CZR,485,USD,,,
12/04/2024,DKNG,1122,USD,,,
12/04/2024,GD,194,USD,,,
12/04/2024,GTBIF,2193,USD,,,
12/04/2024,HEI,239,EUR,,,
12/04/2024,HO,381,EUR,,,
12/04/2024,LMT,98,USD,,,
12/04/2024,LVS,573,USD,,,
12/04/2024,MGM,683,USD,,,
12/04/2024,MNST,141,USD,,,
12/04/2024,MO,456,USD,,,
12/04/2024,NOC,35,USD,,,
12/04/2024,PEP,295,USD,,,
12/04/2024,PM,457,USD,,,
12/04/2024,RHM,101,EUR,,,
12/04/2024,RRR,693,USD,,,
12/04/2024,RTX,663,USD,,,
12/04/2024,SAM,43,USD,,,
12/04/2024,STZ,100,USD,,,
12/04/2024,TAP,505,USD,,,
12/04/2024,TDG,28,USD,,,
12/04/2024,WYNN,446,USD,,,
15/04/2024,AIR,167,EUR,,,
15/04/2024,BAESY,616,USD,,,
15/04/2024,BDRBF,1045,USD,,,
15/04/2024,BTI,870,USD,,,
15/04/2024,BUD,581,USD,,,
15/04/2024,BYD,401,USD,,,
15/04/2024,CURLF,1614,USD,,,
15/04/2024,CZR,534,USD,,,
15/04/2024,DKNG,711,USD,,,
15/04/2024,GD,148,USD,,,
15/04/2024,GTBIF,1400,USD,,,
15/04/2024,HEI,460,EUR,,,
15/04/2024,HO,419,EUR,,,
15/04/2024,LMT,107,USD,,,
15/04/2024,LVS,631,USD,,,
15/04/2024,MGM,439,USD,,,
15/04/2024,MNST,471,USD,,,
15/04/2024,MO,502,USD,,,
15/04/2024,NOC,84,USD,,,
15/04/2024,PEP,325,USD,,,
15/04/2024,PM,503,USD,,,
15/04/2024,RHM,111,EUR,,,
15/04/2024,RRR,763,USD,,,
15/04/2024,RTX,532,USD,,,
15/04/2024,SAM,85,USD,,,
15/04/2024,STZ,110,USD,,,
